,Reporting PHU City,Latitude,Longitude
0,Toronto,43.6534817,-79.3839347
1,London,42.9836747,-81.2496068
2,Newmarket,44.056258,-79.461708
3,Whitby,43.899871,-78.940201
4,Waterloo,43.466874,-80.524635
5,Mississauga,43.590338,-79.645729
6,Oakville,43.447436,-79.666672
7,Ottawa,45.421106,-75.690308
8,Sudbury,46.49272,-80.991211
9,Hamilton,43.2560802,-79.8728583
10,Cornwall,45.0184417,-74.728703
11,Barrie,44.3893113,-79.6901736
12,Thorold,43.1179352,-79.202235
13,Port Hope,43.9515755,-78.2939704
14,Stratford,52.1927885,-1.7063668
15,Kenora,49.766215,-94.4893528
16,Peterborough,44.3048009,-78.3199496
17,Owen Sound,44.5668092,-80.9441252
18,Guelph,43.5460516,-80.2493276
19,Brantford,43.1408157,-80.2631733
20,Windsor,42.317099,-83.0353434
21,Kingston,44.230687,-76.481323
22,Sault Ste. Marie,46.52391,-84.320068
23,Timmins,48.477473,-81.330414
24,Chatham,42.4057219,-82.1853837
25,Belleville,44.1633264,-77.3852556
26,St. Thomas,42.779022,-81.1929882
27,New Liskeard,47.508731,-79.6789029
28,North Bay,46.3092115,-79.4607617
29,Point Edward,42.997903,-82.4132944
30,Thunder Bay,48.406414,-89.259796
31,Brockville,44.5895925,-75.6843332
32,Simcoe,44.5014007,-79.7038708
33,Pembroke,45.8255395,-77.1150645
